fold,feature,perturbation_level,feature_mean,feature_std,clean_f1,perturbed_f1,delta_f1,clean_balanced_accuracy,perturbed_balanced_accuracy,delta_balanced_accuracy,clean_roc_auc,perturbed_roc_auc,delta_roc_auc
2,ct_state_ttl,0.2,1.3035912878334217,0.9528692795738815,0.9439726232702204,0.9439740227301111,1.3994598907496325e-06,0.9081172657631114,0.9081030496573497,-1.4216105761688524e-05,0.9682247802728583,0.968034183590182,-0.0001905966826762917
2,dload,0.05,667153.8777692242,2402394.267698859,0.9439726232702204,0.9508180920022169,0.00684546873199654,0.9081172657631114,0.8952402527933743,-0.01287701296973709,0.9682247802728583,0.9622117540294945,-0.0060130262433637505
2,dload,0.1,667153.8777692242,2402394.267698859,0.9439726232702204,0.9506111880532305,0.00663856478301017,0.9081172657631114,0.8946033883579378,-0.013513877405173513,0.9682247802728583,0.9626241665367805,-0.005600613736077786
2,dload,0.2,667153.8777692242,2402394.267698859,0.9439726232702204,0.9506838759391254,0.006711252668905043,0.9081172657631114,0.894552505162925,-0.01356476060018641,0.9682247802728583,0.9621588784384723,-0.006065901834386045
2,ct_dst_sport_ltm,0.05,4.208984207914863,5.782402863413036,0.9439726232702204,0.9428207434052758,-0.0011518798649445827,0.9081172657631114,0.9063353971297055,-0.001781868633405903,0.9682247802728583,0.9664595450151277,-0.0017652352577306463
2,ct_dst_sport_ltm,0.1,4.208984207914863,5.782402863413036,0.9439726232702204,0.9387030648467577,-0.005269558423462661,0.9081172657631114,0.9003471186129164,-0.007770147150194973,0.9682247802728583,0.9604807329043872,-0.007744047368471119
2,ct_dst_sport_ltm,0.2,4.208984207914863,5.782402863413036,0.9439726232702204,0.9369473039062403,-0.007025319363980098,0.9081172657631114,0.8980422874370672,-0.010074978326044204,0.9682247802728583,0.9552691003174555,-0.01295567995540281
2,dmean,0.05,124.38509247694492,258.74340700438404,0.9439726232702204,0.9436861322812262,-0.00028649098899413694,0.9081172657631114,0.8949637258686098,-0.01315353989450152,0.9682247802728583,0.9646520048405729,-0.003572775432285402
2,dmean,0.1,124.38509247694492,258.74340700438404,0.9439726232702204,0.9458360719589084,0.0018634486886880408,0.9081172657631114,0.8939698138335872,-0.014147451929524157,0.9682247802728583,0.9622085260651588,-0.006016254207699467
2,dmean,0.2,124.38509247694492,258.74340700438404,0.9439726232702204,0.9467664946330353,0.002793871362814948,0.9081172657631114,0.8923422437807684,-0.01577502198234293,0.9682247802728583,0.9583548241422,-0.00986995613065833
2,rate,0.05,95596.27919342963,165694.70447513738,0.9439726232702204,0.9407656997753687,-0.0032069234948516323,0.9081172657631114,0.8878081672372635,-0.020309098525847835,0.9682247802728583,0.9605753309781179,-0.007649449294740429
2,rate,0.1,95596.27919342963,165694.70447513738,0.9439726232702204,0.9389603554424059,-0.005012267827814498,0.9081172657631114,0.8866515466770242,-0.021465719086087187,0.9682247802728583,0.9600710420140903,-0.008153738258767973
2,rate,0.2,95596.27919342963,165694.70447513738,0.9439726232702204,0.9385927243727379,-0.005379898897482471,0.9081172657631114,0.8876905357459276,-0.02042673001718376,0.9682247802728583,0.9598822518871739,-0.008342528385684389
2,swin,0.05,116.40533303676835,127.01457144217339,0.9439726232702204,0.9394179196342214,-0.004554703635998969,0.9081172657631114,0.9047344352259601,-0.0033828305371512712,0.9682247802728583,0.9620301423188871,-0.006194637953971238
2,swin,0.1,116.40533303676835,127.01457144217339,0.9439726232702204,0.9333367110413051,-0.010635912228915245,0.9081172657631114,0.90078200567039,-0.007335260092721341,0.9682247802728583,0.9557545850762253,-0.01247019519663295
2,swin,0.2,116.40533303676835,127.01457144217339,0.9439726232702204,0.9255006265824404,-0.01847199668777999,0.9081172657631114,0.8950134670887557,-0.013103798674355627,0.9682247802728583,0.9512932589304387,-0.016931521342419598
